Date,Ijora_Energy_Delivered[kWh]_(Customers),Ijora_Energy_Billed_[kWh]_+PPM_(Customers),Ijora_PPM_Vended_[kWh]_(Customers),Ijora_KCG_(Customers),Ijora_NON_KCG_(Customers),Ijora_PPM_(Customers),Ijora_TOTAL_(Customers),Ijora_KCG_(Billing),Ijora_NON_KCG_(Billing),Ijora_PPM*(Billing),Ijora_KCG+NKCG+PPM_(Billing),Ijora_KCG_(Collection),Ijora_NON_KCG_(Collection),IjoraPPM*(Collection),Ijora_KCG+NKCG_(Collection)
20/03/2020,27330004.9,23671766.2,,793,21645,29506,51944,330240985.6,241396814.5,137606723.2,709244523.3,286933654,115758694.2,137606723.2,540299071.4
20/04/2020,22972688.5,19231346.1,,794,21714,29752,52260,276468555.6,175472843.9,121049418.8,572990818.3,156731236.3,21278263.1,121049418.8,299058918.2
20/05/2020,27279160.9,22734997.3,,794,21763,29952,52509,189286796,316184091.9,145510059.5,650980947.4,239255526.5,157927194.2,145510059.5,542692780.2
20/06/2020,29819585.3,24014114.3,,791,21343,29952,52086,236442809,321631410.7,140232112.5,698306332.2,238710700.5,180375680,140232112.5,559318493
20/07/2020,25240240,20709863,,793,21392,29952,52137,217193447.5,270734770.4,120793976.2,608722194.1,212338779,178000858.3,120793976.2,511133613.4
20/08/2020,24268090,20846558.2,,811,21265,30462,52538,230302071.7,259414263.5,129273984.6,618990319.8,213247202.6,175243169.2,129273984.6,517764356.4
20/09/2020,25011200,20799368.3,,817,21491,30525,52833,253979219.6,264070537.4,151025507.5,669075264.5,266399467.4,175079261.8,151025507.5,592504236.7
20/10/2020,23356674.9,24236363.4,,819,21474,30901,53194,389862136.6,359370814.1,211540211,960773161.7,250157392,112359567.3,211540211,574057170.3
20/11/2020,28889650,25519056.3,,821,21016,30979,52816,273693772.7,318942177.5,161985041.5,754620991.8,311385764.9,206256529,161985041.5,679627335.4
20/12/2020,29097623.9,22925520.4,,825,21106,31148,53079,427152830.3,333719470.6,216078584.2,976950885.1,429997441,163554939.7,216078584.2,809630964.9
21/01/2021,32540172.7,26900044.8,,828,21146,31213,53187,494329511.1,419022245.3,214801231.2,1128152988,455860201.8,192830171,214801231.2,863491603.9
21/02/2021,31617289.5,26416682.7,,833,21153,31443,53429,461819465.9,430852729.6,207077722.1,1099749918,428994221.4,199290549.3,207077722.1,835362492.9
21/03/2021,30582150,25053911.8,,833,21274,32189,54296,479258254.8,348298249.9,224080992.8,1051637497,441730703.7,205470884.6,224080992.8,871282581.1
21/04/2021,30247010,22424481,,836,21666,32189,54691,480112879.9,317144161.6,186836762.6,984093804,442355113.6,159454538.4,186836762.6,788646414.5
21/05/2021,26044875.4,22236034.5,,838,21426,35269,57533,533184792.9,273582451.3,207979960.2,1014747204,377004676.1,147309208.1,207979960.2,732293844.4
21/06/2021,26117809.4,22049386.4,,842,21584,35814,58240,464158596.6,326575157.4,192879200.8,983612954.8,424217797.2,148165171,192879200.8,765262169
31/07/2021,23617277.4,20019660.7,,842,20231,37368,58441,443417084.6,236486849.4,223722265.8,903626199.7,315830524.5,152919604,223722265.8,692472394.3
30/08/2021,26022667.4,22945541.7,,848,19685,37368,57901,434299515.9,304227758.2,257745289.9,996272564,420763687.9,168756888.7,257745289.9,847265866.5
